Package,Name,Version,Architecture
lunotech11.legizmo.kincaid,Airaw,4.2.5,iphoneos-arm64
lunotech11.Legizmo.Kincaid,Aemulo,4.0,iphoneos-arm
lunotech11.legizmo.lighthouse,Ripple,5.2,iphoneos-arm64
me.aspenuwu.xenon,Alderis Color Picker,1.1.3,iphoneos-arm
me.aspenuwu.zinnia,Airaw,1.1.5,iphoneos-arm
me.aspenuwu.zinnia.trial,Zinnia (Trial),1.1.4,iphoneos-arm
me.daveapps.counted,Atria,1,iphoneos-arm
me.lau.atria,AlbumManager,1.4.1,iphoneos-arm64
me.lightmann.iamlazy,Return YouTube Dislike,2.6.0,iphoneos-arm64
me.midnightchips.asteroid14,Lyricify,1.0,iphoneos-arm
me.midnightchips.harpy-reloaded,Harpy Reloaded,1.0.1,iphoneos-arm
me.midnightchips.relocateme,Dayn (iOS 14),1.0,iphoneos-arm
me.midnightchips.snapback,SnapBack,2.0.3,iphoneos-arm
me.nebula.ding,Legizmo 'Kincaid',1.1.0,iphoneos-arm64
me.renai.lyricify,Return YouTube Dislike,2.1.4-1,iphoneos-arm
me.surenix.ayeris,Antoine,1.5,iphoneos-arm64
weeb.lillie.youtubedislikesreturn,LastLook,1.9.1,iphoneos-arm
ws.hbang.alderis,Sleepizy 2,1.2,iphoneos-arm
ws.hbang.common,AlbumManager,2.0,iphoneos-arm64
ws.hbang.newterm2,Velvet 2,2.5,iphoneos-arm
ws.hbang.newterm3,Aemulo (Trial),3.0~beta1,iphoneos-arm64
ws.hbang.newtermfonts,Cephei Tweak Support,1.0,iphoneos-arm
ws.hbang.quanta,StopCrashingPls,1.0,iphoneos-arm
ws.hbang.runtimebrowser,Aemulo,1.1,iphoneos-arm
ws.hbang.stopcrashingpls,Multipla,1.0,iphoneos-arm
xyz.burritoz.thomz.multipla,Multipla,2.1.6,iphoneos-arm
xyz.burritoz.thomz.multiplalite,Jellyfish,2.0.0~lite-1,iphoneos-arm
xyz.royalapps.jellyfish,Return YouTube Dislike,1.6.5,iphoneos-arm
xyz.royalapps.prokeys,BetterAlarm,1.1,iphoneos-arm
