Package,Name,Version,Architecture
choose,choose,1.3.3,iphoneos-arm
clang,clang,16.0.0~5.9.2~RELEASE,iphoneos-arm
clang-14,clang-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
clang-16,clang-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
clangd,clangd,16.0.0~5.9.2~RELEASE,iphoneos-arm
clangd-14,clangd-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
clangd-16,clangd-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
clang-format,clang-format,16.0.0~5.9.2~RELEASE,iphoneos-arm
clang-format-14,clang-format-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
clang-format-16,clang-format-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
clang-tidy,clang-tidy,16.0.0~5.9.2~RELEASE,iphoneos-arm
clang-tidy-14,clang-tidy-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
clang-tidy-16,clang-tidy-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
clang-tools,clang-tools,16.0.0~5.9.2~RELEASE,iphoneos-arm
clang-tools-14,clang-tools-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
clang-tools-16,clang-tools-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
cmake,cmake,3.30.2,iphoneos-arm
cmake-curses-gui,cmake-curses-gui,3.30.2,iphoneos-arm
cmake-data,cmake-data,3.30.2,iphoneos-arm
cmark,cmark,0.29.0,iphoneos-arm
coreutils,coreutils,9.5,iphoneos-arm
cowsay,cowsay,3.04,iphoneos-arm
cowsay-off,cowsay-off,3.04,iphoneos-arm
cpio,cpio,2.13,iphoneos-arm
cpio-locale,cpio-locale,2.13,iphoneos-arm
cpuminer,cpuminer,2.5.1,iphoneos-arm
cracklib-runtime,cracklib-runtime,2.9.7,iphoneos-arm
curl,curl,8.7.1,iphoneos-arm
curlie,curlie,1.6.9,iphoneos-arm
cycript,Cycript,0.9.594-procursus1,iphoneos-arm
darwintools,darwintools,1.6,iphoneos-arm
dash,dash,0.5.12,iphoneos-arm
dav1d,dav1d,1.0.0,iphoneos-arm
db18.1-util,db18.1-util,18.1.40-1,iphoneos-arm
debianutils,debianutils,5.19,iphoneos-arm
debootstrap,debootstrap,1.0.128+nmu2,iphoneos-arm
debugserver,debugserver,16.0.0~5.9.2~RELEASE,iphoneos-arm
debugserver-14,debugserver-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
debugserver-16,debugserver-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
defaults,defaults,1.0,iphoneos-arm
deon-keyring,deon-keyring,2023.04.18,all
developer-cmds,developer-cmds,68,iphoneos-arm
dhinakg-keyring,dhinakg-keyring,2023.04.02,all
dialog,dialog,1.3-20220117,iphoneos-arm
dialog-locale,dialog-locale,1.3-20210117,iphoneos-arm
diffstat,diffstat,1.64,iphoneos-arm
diffutils,diffutils,3.10,iphoneos-arm
dimentio,dimentio,1:0~20230202.7ffffff,iphoneos-arm
dirmngr,dirmngr,2.4.5,iphoneos-arm
diskdev-cmds,diskdev-cmds,718,iphoneos-arm
disklabel,disklabel,7,iphoneos-arm
dmg2img,dmg2img,1.6.7-1,iphoneos-arm
doas,doas,6.8.1-2,iphoneos-arm
docbook-xml,docbook-xml,4.5,all
docbook-xsl,docbook-xsl,1.79.2,all
docbook-xsl-ns,docbook-xsl-ns,1.79.2,all
doc-cmds,doc-cmds,66,iphoneos-arm
dog,dog,0.1.0,iphoneos-arm
doregon-keyring,doregon-keyring,2022.01.28,all
dos2unix,dos2unix,7.5.2,iphoneos-arm
dos2unix-locale,dos2unix-locale,7.4.2,iphoneos-arm
doxygen,doxygen,1.9.5,iphoneos-arm
dpkg,dpkg,1.22.6,iphoneos-arm
dpkg-dev,dpkg-dev,1.22.6,iphoneos-arm
dpkg-repack,dpkg-repack,1.52,iphoneos-arm
dropbear,dropbear,2020.81,iphoneos-arm
duf,duf,0.8.1,iphoneos-arm
dust,dust,0.7.5,iphoneos-arm
echo-keyring,echo-keyring,2023.05.01,all
ed,ed,1.19,iphoneos-arm
essential,essential,0-5,iphoneos-arm
exa,exa,0.10.1,iphoneos-arm
expat,expat,2.2.10,iphoneos-arm
fakeroot,fakeroot,1.31-1,iphoneos-arm
fd,fd,8.6.0,iphoneos-arm
fff,fff,2.2,iphoneos-arm
ffmpeg,ffmpeg,5.0.1,iphoneos-arm
figlet,figlet,2.2.5,iphoneos-arm
file,file,5.45,iphoneos-arm
file-cmds,file-cmds,430.100.5,iphoneos-arm
findutils,findutils,4.9.0-1,iphoneos-arm
firmware-sbin,iPhone Firmware (/sbin),0-2,all
fish,fish,3.7.1,iphoneos-arm
flac,flac,1.3.3,iphoneos-arm
flang,flang,16.0.0~5.9.2~RELEASE,iphoneos-arm
flang-16,flang-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
flex,flex,2.6.4,iphoneos-arm
flex-locale,flex-locale,2.6.4,iphoneos-arm
fluxbox,fluxbox,1.3.7,iphoneos-arm
fontconfig,fontconfig,2.14.0,iphoneos-arm
fontconfig-config,fontconfig-config,2.14.0,iphoneos-arm
fortune-mod,fortune-mod,3.6.0,iphoneos-arm
fortunes,fortunes,3.6.0,iphoneos-arm
fortunes-off,fortunes-off,3.6.0,iphoneos-arm
frei0r-plugins,frei0r-plugins,1.8.0,iphoneos-arm
frei0r-plugins-dev,frei0r-plugins-dev,1.8.0,iphoneos-arm
futurerestore,futurerestore,195,iphoneos-arm
fzf,fzf,0.29.0,iphoneos-arm
gawk,gawk,5.3.0,iphoneos-arm
gawk-locale,gawk-locale,5.1.0-2,iphoneos-arm
gcal,gcal,4.1,iphoneos-arm
gcal-common,gcal-common,4.1,all
gdbmtool,gdbmtool,1.23,iphoneos-arm
gddrescue,gddrescue,1.25,iphoneos-arm
gengetopt,gengetopt,2.23,iphoneos-arm
geoip-bin,geoip-bin,1.6.12,iphoneos-arm
gettext,gettext,0.22,iphoneos-arm
gettext-base,gettext-base,0.22,iphoneos-arm
gettext-localizations,gettext-localizations,2020.10.07,iphoneos-arm
gh,gh,2.21.2,iphoneos-arm
ghostbin,ghostbin,1.0+git20201225.0e0a3b7,iphoneos-arm
ghostscript,ghostscript,9.53.3,iphoneos-arm
giflib-tools,giflib-tools,5.2.1,iphoneos-arm
git,git,2.39.1,iphoneos-arm
gitea,gitea,1.18.5,iphoneos-arm
gnuchess,gnuchess,6.2.9,iphoneos-arm
gnuchess-locale,gnuchess-locale,6.2.7,iphoneos-arm
gnu-getopt,gnu-getopt,2.37,iphoneos-arm
gnupg,gnupg,2.4.5,all
gnupg-utils,gnupg-utils,2.4.5,iphoneos-arm
gnutls-bin,gnutls-bin,3.8.5,iphoneos-arm
golang,golang,1.22.4,all
golang-1.21,golang-1.21,1.21.1,all
golang-1.21-go,golang-1.21-go,1.21.1,iphoneos-arm
golang-1.21-src,golang-1.21-src,1.21.1,iphoneos-arm
golang-1.22,golang-1.22,1.22.4,all
golang-1.22-go,golang-1.22-go,1.22.4,iphoneos-arm
golang-1.22-src,golang-1.22-src,1.22.4,iphoneos-arm
golang-go,golang-go,1.22.4,all
golang-src,golang-src,1.22.4,all
golb,golb,1.0.1+git20210608.7ffffff,iphoneos-arm
googletest,googletest,1.12.1,iphoneos-arm
gpg,gpg,2.4.5,iphoneos-arm
gpg-agent,gpg-agent,2.4.5,iphoneos-arm
gpgconf,gpgconf,2.4.5,iphoneos-arm
gpgrt-tools,gpgrt-tools,1.48,iphoneos-arm
gpgsm,gpgsm,2.4.5,iphoneos-arm
gpgv,gpgv,2.4.5,iphoneos-arm
gpg-wks-client,gpg-wks-client,2.4.5,iphoneos-arm
gpg-wks-server,gpg-wks-server,2.4.5,iphoneos-arm
gping,gping,1.2.6,iphoneos-arm
grep,grep,3.11,iphoneos-arm
groff,groff,1.23.0,iphoneos-arm
gtime,gtime,1.9,iphoneos-arm
gtk-doc-tools,gtk-doc-tools,1.32,all
gzip,gzip,1.13,iphoneos-arm
havoc-keyring,havoc-keyring,2022.06.03,all
hello,hello,2.10,iphoneos-arm
hello-locale,hello-locale,2.10,iphoneos-arm
help2man,help2man,1.48.3,iphoneos-arm
help2man-locale,help2man-locale,1.48.3,iphoneos-arm
hexedit,hexedit,1.6,iphoneos-arm
hstspreload,hstspreload,20220710,all
htop,htop,3.3.0,iphoneos-arm
hyperfine,hyperfine,1.15.0,iphoneos-arm
icu-devtools,icu-devtools,69.1,iphoneos-arm
idevicehacked-keyring,iDeviceHacked APT Keyring,2021.07.20,all
ideviceinstaller,ideviceinstaller,1.1.1,iphoneos-arm
idevicerestore,idevicerestore,1.0.0+git20220628.7d622d9,iphoneos-arm
idn2,idn2,2.3.7,iphoneos-arm
imagemagick,imagemagick,7.0.10.60,iphoneos-arm
imagemagick-7-common,imagemagick-7-common,7.0.10.60,all
img4lib,img4lib,1.0+git20210122.1d8c1dd-1,iphoneos-arm
img4tool,img4tool,197-2,iphoneos-arm
inetutils-ftp,inetutils-ftp,2.5,iphoneos-arm
inetutils-ftpd,inetutils-ftpd,2.5,iphoneos-arm
inetutils-inetd,inetutils-inetd,2.5,iphoneos-arm
inetutils-ping,inetutils-ping,2.5,iphoneos-arm
inetutils-rcp,inetutils-rcp,2.5,iphoneos-arm
inetutils-rexec,inetutils-rexec,2.5,iphoneos-arm
inetutils-rexecd,inetutils-rexecd,2.5,iphoneos-arm
inetutils-rlogin,inetutils-rlogin,2.5,iphoneos-arm
inetutils-rlogind,inetutils-rlogind,2.5,iphoneos-arm
inetutils-rsh,inetutils-rsh,2.5,iphoneos-arm
inetutils-rshd,inetutils-rshd,2.5,iphoneos-arm
inetutils-syslogd,inetutils-syslogd,2.5,iphoneos-arm
inetutils-talk,inetutils-talk,2.5,iphoneos-arm
inetutils-talkd,inetutils-talkd,2.5,iphoneos-arm
inetutils-telnet,inetutils-telnet,2.5,iphoneos-arm
inetutils-telnetd,inetutils-telnetd,2.5,iphoneos-arm
inetutils-tftp,inetutils-tftp,2.5,iphoneos-arm
inetutils-tftpd,inetutils-tftpd,2.5,iphoneos-arm
inetutils-tools,inetutils-tools,2.5,iphoneos-arm
inetutils-traceroute,inetutils-traceroute,2.5,iphoneos-arm
inetutils-uucpd,inetutils-uucpd,2.5,iphoneos-arm
inetutils-whois,inetutils-whois,2.5,iphoneos-arm
iokittools,iokittools,115,iphoneos-arm
ipsw,ipsw,3.1.506,iphoneos-arm
ironside-keyring,ironside-keyring,2023.02.21,all
itstool,itstool,2.0.6,all
jbat,jbat,1.0,iphoneos-arm
jbig2dec,jbig2dec,0.19,iphoneos-arm
jbigkit-bin,jbigkit-bin,2.1,iphoneos-arm
jlutil,jlutil,1.0,iphoneos-arm
jo,jo,1.6,iphoneos-arm
joe,joe,4.6,iphoneos-arm
jp2a,jp2a,1.1.0,iphoneos-arm
jq,jq,1.6,iphoneos-arm
jtool2,jtool2,2020.12.21,iphoneos-arm
just,just,1.13.0,iphoneos-arm
kext-tools,kext-tools,745,iphoneos-arm
keyboxd,keyboxd,2.4.5,iphoneos-arm
ktool,ktool,1.0.0~rc0,all
lame,lame,3.100,iphoneos-arm
launchctl,Launch Daemon Controller,23-4,iphoneos-arm
ld64,ld64,951.9,iphoneos-arm
ldid,ldid,2.1.5-procursus7,iphoneos-arm
lemon,lemon,3.34.1,iphoneos-arm
leptonica-progs,leptonica-progs,1.80.0,iphoneos-arm
less,less,643,iphoneos-arm
lf,lf,32,iphoneos-arm
libalac0,libalac0,0.0.7,iphoneos-arm
libalac-dev,libalac-dev,0.0.7,iphoneos-arm
libao4,libao4,1.2.2,iphoneos-arm
libao-common,libao-common,1.2.2,iphoneos-arm
libao-dev,libao-dev,1.2.2,iphoneos-arm
libaom2,libaom2,2.0.2,iphoneos-arm
libaom3,libaom3,3.3.0,iphoneos-arm
libaom-dev,libaom-dev,3.3.0,iphoneos-arm
libapr1,libapr1,1.7.0,iphoneos-arm
libapr1-dev,libapr1-dev,1.7.0,iphoneos-arm
libapt-pkg6.0,libapt-pkg6.0,2.9.4-1,iphoneos-arm
libapt-pkg-dev,libapt-pkg-dev,2.9.4-1,iphoneos-arm
libapt-pkg-perl,libapt-pkg-perl,0.1.40,iphoneos-arm
libarchive13,libarchive13,3.7.2,iphoneos-arm
libarchive-dev,libarchive-dev,3.7.2,iphoneos-arm
libarchive-tools,libarchive-tools,3.7.2,iphoneos-arm
libargon2,libargon2,0~20190702,iphoneos-arm
libargon2-dev,libargon2-dev,0~20190702,iphoneos-arm
libaria2-0,libaria2-0,1.36.0,iphoneos-arm
libaria2-0-dev,libaria2-0-dev,1.36.0,iphoneos-arm
libass9,libass9,0.16.0,iphoneos-arm
libass-dev,libass-dev,0.16.0,iphoneos-arm
libassuan0,libassuan0,2.5.7,iphoneos-arm
libassuan-dev,libassuan-dev,2.5.7,iphoneos-arm
libatomic-ops-dev,libatomic-ops-dev,7.6.10,iphoneos-arm
libavcodec59,libavcodec59,5.0.1,iphoneos-arm
libavcodec-dev,libavcodec-dev,5.0.1,iphoneos-arm
libavdevice59,libavdevice59,5.0.1,iphoneos-arm
libavdevice-dev,libavdevice-dev,5.0.1,iphoneos-arm
libavfilter8,libavfilter8,5.0.1,iphoneos-arm
libavfilter-dev,libavfilter-dev,5.0.1,iphoneos-arm
libavformat59,libavformat59,5.0.1,iphoneos-arm
libavformat-dev,libavformat-dev,5.0.1,iphoneos-arm
libavresample4,libavresample4,4.3.1,iphoneos-arm
libavresample-dev,libavresample-dev,4.3.1,iphoneos-arm
libavutil57,libavutil57,5.0.1,iphoneos-arm
libavutil-dev,libavutil-dev,5.0.1,iphoneos-arm
libbison-dev,libbison-dev,3.8.2,iphoneos-arm
libboost1.84.0-all,libboost1.84.0-all,1:0,iphoneos-arm
libboost-all-dev,libboost-all-dev,1.84.0,iphoneos-arm
libboost-atomic1.84.0,libboost-atomic1.84.0,1.84.0,iphoneos-arm
libboost-chrono1.84.0,libboost-chrono1.84.0,1.84.0,iphoneos-arm
libboost-container1.84.0,libboost-container1.84.0,1.84.0,iphoneos-arm
libboost-context1.84.0,libboost-context1.84.0,1.84.0,iphoneos-arm
libboost-contract1.84.0,libboost-contract1.84.0,1.84.0,iphoneos-arm
libboost-coroutine1.84.0,libboost-coroutine1.84.0,1.84.0,iphoneos-arm
libboost-date-time1.84.0,libboost-date-time1.84.0,1.84.0,iphoneos-arm
libboost-fiber1.84.0,libboost-fiber1.84.0,1.84.0,iphoneos-arm
libboost-filesystem1.84.0,libboost-filesystem1.84.0,1.84.0,iphoneos-arm
libboost-graph1.84.0,libboost-graph1.84.0,1.84.0,iphoneos-arm
libboost-iostreams1.84.0,libboost-iostreams1.84.0,1.84.0,iphoneos-arm
libboost-json1.84.0,libboost-json1.84.0,1.84.0,iphoneos-arm
libboost-locale1.84.0,libboost-locale1.84.0,1.84.0,iphoneos-arm
libboost-log1.84.0,libboost-log1.84.0,1.84.0,iphoneos-arm
libboost-math1.84.0,libboost-math1.84.0,1.84.0,iphoneos-arm
libboost-nowide1.84.0,libboost-nowide1.84.0,1.84.0,iphoneos-arm
libboost-program-options1.84.0,libboost-program-options1.84.0,1.84.0,iphoneos-arm
libboost-python1.84.0,libboost-python1.84.0,1.84.0,iphoneos-arm
libboost-random1.84.0,libboost-random1.84.0,1.84.0,iphoneos-arm
libboost-regex1.84.0,libboost-regex1.84.0,1.84.0,iphoneos-arm
libboost-serialization1.84.0,libboost-serialization1.84.0,1.84.0,iphoneos-arm
libboost-stacktrace1.84.0,libboost-stacktrace1.84.0,1.84.0,iphoneos-arm
libboost-system1.84.0,libboost-system1.84.0,1.84.0,iphoneos-arm
libboost-test1.84.0,libboost-test1.84.0,1.84.0,iphoneos-arm
libboost-thread1.84.0,libboost-thread1.84.0,1.84.0,iphoneos-arm
libboost-timer1.84.0,libboost-timer1.84.0,1.84.0,iphoneos-arm
libboost-type-erasure1.84.0,libboost-type-erasure1.84.0,1.84.0,iphoneos-arm
libboost-wave1.84.0,libboost-wave1.84.0,1.84.0,iphoneos-arm
libbrotli1,libbrotli1,1.1.0,iphoneos-arm
libbrotli-dev,libbrotli-dev,1.1.0,iphoneos-arm
libc++-14-dev,libc++-14-dev,14.0.0~5.7.2~RELEASE,iphoneos-arm
libc++-16-dev,libc++-16-dev,16.0.0~5.9.2~RELEASE,iphoneos-arm
libcaca0,libcaca0,0.99.beta19,iphoneos-arm
libcaca-dev,libcaca-dev,0.99.beta19,iphoneos-arm
libcairo2,libcairo2,1.16.0-3,iphoneos-arm
libcairo2-dev,libcairo2-dev,1.16.0-3,iphoneos-arm
libcairo-gobject2,libcairo-gobject2,1.16.0-3,iphoneos-arm
libcairo-script-interpreter2,libcairo-script-interpreter2,1.16.0-3,iphoneos-arm
libcapstone5,libcapstone5,5.0~git20230223.6e6e602,iphoneos-arm
libcapstone-dev,libcapstone-dev,5.0~git20230223.6e6e602,iphoneos-arm
libc-ares2,libc-ares2,1.31.0,iphoneos-arm
libc-ares-dev,libc-ares-dev,1.31.0,iphoneos-arm
libcddb2,libcddb2,1.3.2,iphoneos-arm
libcddb2-dev,libcddb2-dev,1.3.2,iphoneos-arm
libc++-dev,libc++-dev,16.0.0~5.9.2~RELEASE,iphoneos-arm
libcdio++1,libcdio++1,2.1.0,iphoneos-arm
libcdio19,libcdio19,2.1.0,iphoneos-arm
libcdio++-dev,libcdio++-dev,2.1.0,iphoneos-arm
libcdio-dev,libcdio-dev,2.1.0,iphoneos-arm
libcdio-utils,libcdio-utils,2.1.0,iphoneos-arm
libclang1-14,libclang1-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
libclang1-16,libclang1-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
libclang-14-dev,libclang-14-dev,14.0.0~5.7.2~RELEASE,iphoneos-arm
libclang-16-dev,libclang-16-dev,16.0.0~5.9.2~RELEASE,iphoneos-arm
libclang-common-14-dev,libclang-common-14-dev,14.0.0~5.7.2~RELEASE,iphoneos-arm
libclang-common-16-dev,libclang-common-16-dev,16.0.0~5.9.2~RELEASE,iphoneos-arm
libclang-cpp14,libclang-cpp14,14.0.0~5.7.2~RELEASE,iphoneos-arm
libclang-cpp16,libclang-cpp16,16.0.0~5.9.2~RELEASE,iphoneos-arm
libcmark0.29.0,libcmark0.29.0,0.29.0,iphoneos-arm
libcmark-dev,libcmark-dev,0.29.0,iphoneos-arm
libconfig++11,libconfig++11,1.7.3,iphoneos-arm
libconfig11,libconfig11,1.7.3,iphoneos-arm
libconfig++-dev,libconfig++-dev,1.7.3,iphoneos-arm
libconfig-dev,libconfig-dev,1.7.3,iphoneos-arm
libcrack2,libcrack2,2.9.7,iphoneos-arm
libcrack-dev,libcrack-dev,2.9.7,iphoneos-arm
libcrypt2,libcrypt2,4.4.36,iphoneos-arm
libcrypt-dev,libcrypt-dev,4.4.36,iphoneos-arm
libcurl4,libcurl4,8.7.1,iphoneos-arm
libcurl4-openssl-dev,libcurl4-openssl-dev,8.7.1,iphoneos-arm
libcwidget4,libcwidget4,0.5.18,iphoneos-arm
libcwidget4-locale,libcwidget4-locale,0.5.18,iphoneos-arm
libcwidget-dev,libcwidget-dev,0.5.18,iphoneos-arm
libdav1d6,libdav1d6,1.0.0,iphoneos-arm
libdav1d-dev,libdav1d-dev,1.0.0,iphoneos-arm
libdb18.1,libdb18.1,18.1.40-1,iphoneos-arm
libdb18.1++,libdb18.1++,18.1.40-1,iphoneos-arm
libdb18.1-dev,libdb18.1-dev,18.1.40-1,iphoneos-arm
libdb18.1++-dev,libdb18.1++-dev,18.1.40-1,iphoneos-arm
libdb18.1-stl,libdb18.1-stl,18.1.40-1,iphoneos-arm
libdb18.1-stl-dev,libdb18.1-stl-dev,18.1.40-1,iphoneos-arm
libdca0,libdca0,0.0.7,iphoneos-arm
libdca-dev,libdca-dev,0.0.7,iphoneos-arm
libdca-utils,libdca-utils,0.0.7,iphoneos-arm
libde265-0,libde265-0,1.0.8,iphoneos-arm
libde265-dev,libde265-dev,1.0.8,iphoneos-arm
libde265-examples,libde265-examples,1.0.8,iphoneos-arm
libdimentio0,libdimentio0,1:0~20230202.7ffffff,iphoneos-arm
libdimentio-dev,libdimentio-dev,1:0~20230202.7ffffff,iphoneos-arm
libdmx1,libdmx1,1.1.4,iphoneos-arm
libdmx-dev,libdmx-dev,1.1.4,iphoneos-arm
libdpkg-dev,libdpkg-dev,1.22.6,iphoneos-arm
libdpkg-perl,libdpkg-perl,1.22.6,iphoneos-arm
libdvbcsa1,libdvbcsa1,1.1.0,iphoneos-arm
libdvbcsa-dev,libdvbcsa-dev,1.1.0,iphoneos-arm
libdvbpsi10,libdvbpsi10,1.3.3,iphoneos-arm
libdvbpsi-dev,libdvbpsi-dev,1.3.3,iphoneos-arm
libdvdcss2,libdvdcss2,1.4.2,iphoneos-arm
libdvdcss-dev,libdvdcss-dev,1.4.2,iphoneos-arm
libebml5,libebml5,1.4.2,iphoneos-arm
libebml-dev,libebml-dev,1.4.2,iphoneos-arm
libedit0,libedit0,3.1-20230828,iphoneos-arm
libedit-dev,libedit-dev,3.1-20230828,iphoneos-arm
libepoxy0,libepoxy0,1.5.7,iphoneos-arm
libepoxy-dev,libepoxy-dev,1.5.7,iphoneos-arm
libev4,libev4,4.33,iphoneos-arm
libev-dev,libev-dev,4.33,iphoneos-arm
libevent-2.1-7,libevent-2.1-7,2.1.12-3,iphoneos-arm
libevent-core-2.1-7,libevent-core-2.1-7,2.1.12-3,iphoneos-arm
libevent-dev,libevent-dev,2.1.12-3,iphoneos-arm
libevent-extra-2.1-7,libevent-extra-2.1-7,2.1.12-3,iphoneos-arm
libevent-openssl-2.1-7,libevent-openssl-2.1-7,2.1.12-3,iphoneos-arm
libevent-pthreads-2.1-7,libevent-pthreads-2.1-7,2.1.12-3,iphoneos-arm
libev-libevent-dev,libev-libevent-dev,4.33,all
libexpat1,libexpat1,2.2.10,iphoneos-arm
libexpat1-dev,libexpat1-dev,2.2.10,iphoneos-arm
libffi8,libffi8,3.4.6,iphoneos-arm
libffi-dev,libffi-dev,3.4.6,iphoneos-arm
libfftw3-3,libfftw3-3,3.3.10,all
libfftw3-bin,libfftw3-bin,3.3.10,iphoneos-arm
libfftw3-dev,libfftw3-dev,3.3.10,iphoneos-arm
libfftw3-double3,libfftw3-double3,3.3.10,iphoneos-arm
libfftw3-long3,libfftw3-long3,3.3.10,iphoneos-arm
libfftw3-single3,libfftw3-single3,3.3.10,iphoneos-arm
libfl2,libfl2,2.6.4,iphoneos-arm
libflac++6v5,libflac++6v5,1.3.3,iphoneos-arm
libflac8,libflac8,1.3.3,iphoneos-arm
libflac++-dev,libflac++-dev,1.3.3,iphoneos-arm
libflac-dev,libflac-dev,1.3.3,iphoneos-arm
libflang-16-dev,libflang-16-dev,16.0.0~5.9.2~RELEASE,iphoneos-arm
libfl-dev,libfl-dev,2.6.4,iphoneos-arm
libfmt7,libfmt7,7.1.3,iphoneos-arm
libfmt-dev,libfmt-dev,7.1.3,iphoneos-arm
libfontconfig1,libfontconfig1,2.14.0,iphoneos-arm
libfontconfig-dev,libfontconfig-dev,2.14.0,iphoneos-arm
libfontenc1,libfontenc1,1.1.4,iphoneos-arm
libfontenc-dev,libfontenc-dev,1.1.4,iphoneos-arm
libfox-1.6-0,libfox-1.6-0,1.6.56,iphoneos-arm
libfox-1.6-dev,libfox-1.6-dev,1.6.56,iphoneos-arm
libfragmentzip0,libfragmentzip0,60-2,iphoneos-arm
libfragmentzip-dev,libfragmentzip-dev,60-2,iphoneos-arm
libfreetype6,libfreetype6,2.12.1,iphoneos-arm
libfreetype-dev,libfreetype-dev,2.12.1,iphoneos-arm
libfribidi0,libfribidi0,1.0.10,iphoneos-arm
libfribidi-bin,libfribidi-bin,1.0.10,iphoneos-arm
libfribidi-dev,libfribidi-dev,1.0.10,iphoneos-arm
libfs6,libfs6,1.0.8,iphoneos-arm
libfs-dev,libfs-dev,1.0.8,iphoneos-arm
libgc1,libgc1,8.2.2,iphoneos-arm
libgc-dev,libgc-dev,8.2.2,iphoneos-arm
libgcrypt20,libgcrypt20,1.10.3,iphoneos-arm
libgcrypt20-dev,libgcrypt20-dev,1.10.3,iphoneos-arm
libgd3,libgd3,2.3.2,iphoneos-arm
libgdbm6,libgdbm6,1.23,iphoneos-arm
libgdbm6-locale,libgdbm6-locale,1.19,iphoneos-arm
libgdbm-dev,libgdbm-dev,1.23,iphoneos-arm
libgd-dev,libgd-dev,2.3.2,iphoneos-arm
libgd-tools,libgd-tools,2.3.2,iphoneos-arm
libgeneral0,libgeneral0,56-1,iphoneos-arm
libgeneral-dev,libgeneral-dev,56-1,iphoneos-arm
libgeoip1,libgeoip1,1.6.12,iphoneos-arm
libgeoip-dev,libgeoip-dev,1.6.12,iphoneos-arm
libgettextpo0,libgettextpo0,0.22,iphoneos-arm
libgettextpo-dev,libgettextpo-dev,0.22,iphoneos-arm
libgif7,libgif7,5.2.1,iphoneos-arm
